"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"16","p","ORN1_max_0","ACCLZ_total_energy_0","GYR1_stdev_0","GYR1_total_energy_0","ACCLZ_mean_0","ACCLX_stdev_0","EMG4_min_0","ORN3_min_0","EMG4_total_energy_0","GYR2_total_energy_0","GYR1_max_0","GYR2_min_0","EMG4_stdev_0","GYR2_stdev_0","EMG5_max_0"
"17","q","ORN3_max_0","GYR1_mean_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","GYR2_mean_0","GYR1_max_0","EMG6_stdev_0","EMG6_max_0","EMG6_total_energy_0","EMG1_stdev_0","EMG1_min_0","EMG1_total_energy_0","ORN2_max_0","ORN2_mean_0"
"18","r","ORN1_mean_0","ORN1_max_0","ORN1_min_0","ORN1_stdev_0","ORN1_total_energy_0","ACCLZ_mean_0","ACCLZ_total_energy_0","EMG4_stdev_0","EMG4_total_energy_0","ACCLX_mean_0","ACCLX_total_energy_0","ACCLY_mean_0","ACCLY_total_energy_0","ORN2_max_0","ORN3_max_0"
"19","s","EMG7_stdev_0","EMG7_total_energy_0","ORN3_min_0","ACCLZ_mean_0","EMG7_min_0","ACCLZ_total_energy_0","ACCLY_mean_0","ORN3_max_0","ACCLY_total_energy_0","EMG7_max_0","ORN1_max_0","ORN3_stdev_0","ORN2_mean_0","ORN2_total_energy_0","ORN3_mean_0"
"20","t","ORN1_min_0","EMG1_stdev_0","EMG2_stdev_0","EMG1_total_energy_0","EMG2_total_energy_0","ORN1_mean_0","ORN1_max_0","ORN1_total_energy_0","EMG6_min_0","ORN3_min_0","ORN2_max_0","EMG1_min_0","ACCLX_max_0","ORN3_max_0","EMG3_stdev_0"
"21","u","ORN1_max_0","ORN3_max_0","ORN1_min_0","ORN1_mean_0","ORN1_total_energy_0","ACCLY_mean_0","ACCLY_total_energy_0","EMG2_mean_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","ACCLY_max_0","ACCLX_mean_0","ORN2_mean_0","ORN2_total_energy_0"
"22","v","ACCLY_mean_0","ACCLY_total_energy_0","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ORN1_mean_0","ORN1_total_energy_0","ORN2_total_energy_0","ORN2_mean_0","ACCLY_max_0","ORN2_min_0","ACCLX_mean_0","ACCLX_total_energy_0","ACCLY_min_0"
"23","w","ORN1_mean_0","ORN1_min_0","ORN3_min_0","ORN1_total_energy_0","ACCLY_mean_0","ORN3_mean_0","ORN3_max_0","ACCLY_total_energy_0","ORN3_total_energy_0","ACCLY_max_0","ORN2_min_0","ORN2_mean_0","ORN2_total_energy_0","ACCLX_total_energy_0","ACCLX_mean_0"
"24","x","ORN3_max_0","ORN3_min_0","ORN3_mean_0","ORN3_total_energy_0","ACCLY_min_0","ORN1_mean_0","ORN1_min_0","EMG5_stdev_0","EMG5_total_energy_0","ORN1_total_energy_0","ACCLZ_total_energy_0","ORN2_max_0","ACCLZ_mean_0","GYR2_max_0","ORN1_max_0"
"25","y","ORN1_max_0","ORN3_max_0","ORN3_min_0","ORN1_min_0","ORN1_mean_0","ORN3_mean_0","ORN1_total_energy_0","ORN3_total_energy_0","ACCLY_min_0","EMG6_total_energy_0","ACCLY_mean_0","GYR3_mean_0","EMG6_stdev_0","ACCLY_total_energy_0","ACCLY_stdev_0"
"26","z","ORN3_max_0","ORN3_stdev_0","GYR1_mean_0","ORN1_stdev_0","GYR3_total_energy_0","ORN1_min_0","GYR3_stdev_0","GYR1_min_0","GYR2_stdev_0","ORN3_mean_0","GYR3_min_0","GYR2_total_energy_0","ORN3_total_energy_0","ACCLY_stdev_0","GYR1_stdev_0"
